"school","department","year","funding"
"Seattle University","Directorate for Social, Behavioral and Economic Sciences",2017,496164
"Seattle University","Directorate for Technology, Innovation, and Partnerships",2023,1127398
"Siena College","Directorate for Computer and Information Science and Engineering",2015,394715
"Siena College","Directorate for Computer and Information Science and Engineering",2019,344753
"Siena College","Directorate for Geosciences",2015,0
"Siena College","Directorate for Mathematical and Physical Sciences",2016,411084
"Siena College","Directorate for Mathematical and Physical Sciences",2017,229558
"Siena College","Directorate for Mathematical and Physical Sciences",2018,162020
"Siena College","Directorate for Mathematical and Physical Sciences",2019,272310
"Siena College","Directorate for Mathematical and Physical Sciences",2021,225298
"Siena College","Directorate for Mathematical and Physical Sciences",2023,543606
"Siena College","Directorate for STEM Education",2022,299715
"Siena College","Directorate for STEM Education",2023,49843
"Skidmore College","Directorate for Biological Sciences",2015,382669
"Skidmore College","Directorate for Biological Sciences",2016,368248
"Skidmore College","Directorate for Biological Sciences",2017,121741
"Skidmore College","Directorate for Biological Sciences",2018,1191512
"Skidmore College","Directorate for Biological Sciences",2019,448560
"Skidmore College","Directorate for Biological Sciences",2020,266517
"Skidmore College","Directorate for Biological Sciences",2021,573372
"Skidmore College","Directorate for Biological Sciences",2023,449640
"Skidmore College","Directorate for Computer and Information Science and Engineering",2021,160360
"Skidmore College","Directorate for Computer and Information Science and Engineering",2024,279235
"Skidmore College","Directorate for Geosciences",2016,214408
"Skidmore College","Directorate for Geosciences",2017,813989
"Skidmore College","Directorate for Mathematical and Physical Sciences",2020,570696
"Skidmore College","Directorate for Mathematical and Physical Sciences",2024,13077
"Skidmore College","Directorate for STEM Education",2022,325872
"Skidmore College","Directorate for Social, Behavioral and Economic Sciences",2018,251165
"Skidmore College","Directorate for Social, Behavioral and Economic Sciences",2024,27762
"Smith College","Directorate for Biological Sciences",2015,579043
"Smith College","Directorate for Biological Sciences",2016,1058481
"Smith College","Directorate for Biological Sciences",2017,326081
"Smith College","Directorate for Biological Sciences",2022,850553
"Smith College","Directorate for Biological Sciences",2023,1540733
"Smith College","Directorate for Biological Sciences",2024,487135
"Smith College","Directorate for Computer and Information Science and Engineering",2016,917222
"Smith College","Directorate for Computer and Information Science and Engineering",2019,581902
"Smith College","Directorate for Computer and Information Science and Engineering",2020,174361
"Smith College","Directorate for Computer and Information Science and Engineering",2022,649900
"Smith College","Directorate for Computer and Information Science and Engineering",2023,498878
"Smith College","Directorate for Engineering",2016,65196
"Smith College","Directorate for Engineering",2018,367892
"Smith College","Directorate for Engineering",2022,615416
"Smith College","Directorate for Engineering",2023,149330
"Smith College","Directorate for Geosciences",2019,510543
"Smith College","Directorate for Geosciences",2022,89000
"Smith College","Directorate for Geosciences",2024,128052
"Smith College","Directorate for Mathematical and Physical Sciences",2015,1126276
"Smith College","Directorate for Mathematical and Physical Sciences",2017,67915
"Smith College","Directorate for Mathematical and Physical Sciences",2018,426067
"Smith College","Directorate for Mathematical and Physical Sciences",2020,161744
"Smith College","Directorate for Mathematical and Physical Sciences",2021,881684
"Smith College","Directorate for Mathematical and Physical Sciences",2022,1157675
"Smith College","Directorate for Mathematical and Physical Sciences",2023,575363
"Smith College","Directorate for Mathematical and Physical Sciences",2024,1281569
"Smith College","Directorate for STEM Education",2018,1391638
"Smith College","Directorate for STEM Education",2022,187639
"Smith College","Directorate for Social, Behavioral and Economic Sciences",2021,240524
"Smithsonian Institution","Directorate for Biological Sciences",2015,2507255
"Smithsonian Institution","Directorate for Biological Sciences",2016,2495997
"Smithsonian Institution","Directorate for Biological Sciences",2017,3008454
"Smithsonian Institution","Directorate for Biological Sciences",2018,1430000
"Smithsonian Institution","Directorate for Biological Sciences",2019,2109161
"Smithsonian Institution","Directorate for Biological Sciences",2020,2575246
"Smithsonian Institution","Directorate for Biological Sciences",2021,3468938
"Smithsonian Institution","Directorate for Biological Sciences",2022,1603761
"Smithsonian Institution","Directorate for Biological Sciences",2024,1499199
"Smithsonian Institution","Directorate for Computer and Information Science and Engineering",2016,294320
"Smithsonian Institution","Directorate for Geosciences",2015,1081177
"Smithsonian Institution","Directorate for Geosciences",2017,1505663
"Smithsonian Institution","Directorate for Geosciences",2018,506628
"Smithsonian Institution","Directorate for Geosciences",2019,151992
"Smithsonian Institution","Directorate for Geosciences",2020,417994
"Smithsonian Institution","Directorate for Geosciences",2021,58969
"Smithsonian Institution","Directorate for Geosciences",2022,330204
"Smithsonian Institution","Directorate for Geosciences",2023,2006245
"Smithsonian Institution","Directorate for Geosciences",2024,281310
"Smithsonian Institution","Directorate for STEM Education",2015,68801
"Smithsonian Institution","Directorate for STEM Education",2016,1082245
"Smithsonian Institution","Directorate for STEM Education",2020,1904552
"Smithsonian Institution","Directorate for Social, Behavioral and Economic Sciences",2015,23698
"Smithsonian Institution","Directorate for Social, Behavioral and Economic Sciences",2016,301611
"Smithsonian Institution","Directorate for Social, Behavioral and Economic Sciences",2017,48850
"Smithsonian Institution","Directorate for Social, Behavioral and Economic Sciences",2018,505454
"Smithsonian Institution","Directorate for Social, Behavioral and Economic Sciences",2021,148087
"Smithsonian Institution","Directorate for Social, Behavioral and Economic Sciences",2023,486851
"Smithsonian Institution","Office Of The Director",2018,252954
"Smithsonian Institution","Office Of The Director",2020,1999818
"Smithsonian Institution","Office of Budget, Finance, & Award Management",2016,4050
"Smithsonian Institution Astrophysical Observatory","Directorate for Computer and Information Science and Engineering",2019,1439530
"Smithsonian Institution Astrophysical Observatory","Directorate for Geosciences",2015,2207915
"Smithsonian Institution Astrophysical Observatory","Directorate for Geosciences",2017,1141138
"Smithsonian Institution Astrophysical Observatory","Directorate for Geosciences",2018,601042
"Smithsonian Institution Astrophysical Observatory","Directorate for Geosciences",2019,1184186
"Smithsonian Institution Astrophysical Observatory","Directorate for Geosciences",2021,1427674
"Smithsonian Institution Astrophysical Observatory","Directorate for Geosciences",2022,219980
"Smithsonian Institution Astrophysical Observatory","Directorate for Geosciences",2023,599498
"Smithsonian Institution Astrophysical Observatory","Directorate for Geosciences",2024,335621
"Smithsonian Institution Astrophysical Observatory","Directorate for Mathematical and Physical Sciences",2015,502962
"Smithsonian Institution Astrophysical Observatory","Directorate for Mathematical and Physical Sciences",2016,2892313
"Smithsonian Institution Astrophysical Observatory","Directorate for Mathematical and Physical Sciences",2017,1943013
"Smithsonian Institution Astrophysical Observatory","Directorate for Mathematical and Physical Sciences",2018,1876448
"Smithsonian Institution Astrophysical Observatory","Directorate for Mathematical and Physical Sciences",2019,16975302
"Smithsonian Institution Astrophysical Observatory","Directorate for Mathematical and Physical Sciences",2020,928121
"Smithsonian Institution Astrophysical Observatory","Directorate for Mathematical and Physical Sciences",2021,2650460
"Smithsonian Institution Astrophysical Observatory","Directorate for Mathematical and Physical Sciences",2022,3946657
"Smithsonian Institution Astrophysical Observatory","Directorate for Mathematical and Physical Sciences",2023,808422
"Smithsonian Institution Astrophysical Observatory","Directorate for Mathematical and Physical Sciences",2024,447644
"Smithsonian Institution Astrophysical Observatory","Directorate for STEM Education",2015,149835
"Smithsonian Institution Astrophysical Observatory","Directorate for STEM Education",2016,144184
"Smithsonian Institution Astrophysical Observatory","Directorate for STEM Education",2017,795601
"Smithsonian Institution Astrophysical Observatory","Directorate for STEM Education",2021,2811110
"Sonoma State University","Directorate for Biological Sciences",2015,225151
"Sonoma State University","Directorate for Biological Sciences",2019,306569
"Sonoma State University","Directorate for Biological Sciences",2020,600000
"Sonoma State University","Directorate for Biological Sciences",2021,1100215
"Sonoma State University","Directorate for Computer and Information Science and Engineering",2024,995786
"Sonoma State University","Directorate for Geosciences",2015,116489
"Sonoma State University","Directorate for Geosciences",2016,741548
"Sonoma State University","Directorate for Geosciences",2017,93791
"Sonoma State University","Directorate for Geosciences",2019,530
"Sonoma State University","Directorate for Geosciences",2020,439132
"Sonoma State University","Directorate for Mathematical and Physical Sciences",2017,180000
"Sonoma State University","Directorate for STEM Education",2016,584705
"Sonoma State University","Directorate for STEM Education",2018,586193
"Sonoma State University","Directorate for STEM Education",2019,2440912
"Sonoma State University","Directorate for STEM Education",2021,155788
"Sonoma State University","Directorate for STEM Education",2022,375540
"Sonoma State University","Directorate for STEM Education",2024,360636
"Sonoma State University","Directorate for Social, Behavioral and Economic Sciences",2020,320803
"South Dakota School Of Mines And Technology","Directorate for Biological Sciences",2015,269720
"South Dakota School Of Mines And Technology","Directorate for Biological Sciences",2022,548158
"South Dakota School Of Mines And Technology","Directorate for Biological Sciences",2023,786770
"South Dakota School Of Mines And Technology","Directorate for Computer and Information Science and Engineering",2015,183956
"South Dakota School Of Mines And Technology","Directorate for Computer and Information Science and Engineering",2016,300000
"South Dakota School Of Mines And Technology","Directorate for Computer and Information Science and Engineering",2020,416744
"South Dakota School Of Mines And Technology","Directorate for Computer and Information Science and Engineering",2022,502844
"South Dakota School Of Mines And Technology","Directorate for Engineering",2015,419382
"South Dakota School Of Mines And Technology","Directorate for Engineering",2016,543466
"South Dakota School Of Mines And Technology","Directorate for Engineering",2017,942892
"South Dakota School Of Mines And Technology","Directorate for Engineering",2018,1344025
"South Dakota School Of Mines And Technology","Directorate for Engineering",2019,278344
"South Dakota School Of Mines And Technology","Directorate for Engineering",2020,1580731
"South Dakota School Of Mines And Technology","Directorate for Engineering",2021,1906338
"South Dakota School Of Mines And Technology","Directorate for Engineering",2022,364247
"South Dakota School Of Mines And Technology","Directorate for Engineering",2023,2803149
"South Dakota School Of Mines And Technology","Directorate for Engineering",2024,2025536
"South Dakota School Of Mines And Technology","Directorate for Geosciences",2015,133336
"South Dakota School Of Mines And Technology","Directorate for Geosciences",2016,109583
"South Dakota School Of Mines And Technology","Directorate for Geosciences",2018,6116
"South Dakota School Of Mines And Technology","Directorate for Geosciences",2019,306733
"South Dakota School Of Mines And Technology","Directorate for Geosciences",2021,681615
"South Dakota School Of Mines And Technology","Directorate for Geosciences",2022,923173
"South Dakota School Of Mines And Technology","Directorate for Geosciences",2023,563380
"South Dakota School Of Mines And Technology","Directorate for Geosciences",2024,1268747
"South Dakota School Of Mines And Technology","Directorate for Mathematical and Physical Sciences",2016,500000
"South Dakota School Of Mines And Technology","Directorate for Mathematical and Physical Sciences",2017,356710
"South Dakota School Of Mines And Technology","Directorate for Mathematical and Physical Sciences",2018,199634
"South Dakota School Of Mines And Technology","Directorate for Mathematical and Physical Sciences",2021,360723
"South Dakota School Of Mines And Technology","Directorate for Mathematical and Physical Sciences",2023,810000
"South Dakota School Of Mines And Technology","Directorate for Mathematical and Physical Sciences",2024,5450000
"South Dakota School Of Mines And Technology","Directorate for STEM Education",2015,750973
"South Dakota School Of Mines And Technology","Directorate for STEM Education",2016,1477102
"South Dakota School Of Mines And Technology","Directorate for STEM Education",2017,89851
"South Dakota School Of Mines And Technology","Directorate for STEM Education",2018,1471356
"South Dakota School Of Mines And Technology","Directorate for STEM Education",2020,1238819
"South Dakota School Of Mines And Technology","Directorate for STEM Education",2021,1440963
"South Dakota School Of Mines And Technology","Directorate for Technology, Innovation, and Partnerships",2015,50000
"South Dakota School Of Mines And Technology","Directorate for Technology, Innovation, and Partnerships",2017,50000
"South Dakota School Of Mines And Technology","Directorate for Technology, Innovation, and Partnerships",2020,50000
"South Dakota School Of Mines And Technology","Directorate for Technology, Innovation, and Partnerships",2021,50000
"South Dakota School Of Mines And Technology","Directorate for Technology, Innovation, and Partnerships",2023,80475
"South Dakota School Of Mines And Technology","Office Of The Director",2017,6000000
"South Dakota School Of Mines And Technology","Office Of The Director",2018,541356
"South Dakota School Of Mines And Technology","Office Of The Director",2019,6642123
"South Dakota School Of Mines And Technology","Office Of The Director",2020,6599999
"South Dakota School Of Mines And Technology","Office Of The Director",2021,169803
"South Dakota School Of Mines And Technology","Office Of The Director",2023,13244
"South Dakota School Of Mines And Technology","Office Of The Director",2024,1382500
"South Dakota State University","Directorate for Biological Sciences",2015,343808
"South Dakota State University","Directorate for Biological Sciences",2016,386097
"South Dakota State University","Directorate for Biological Sciences",2019,1138000
"South Dakota State University","Directorate for Biological Sciences",2020,538747
"South Dakota State University","Directorate for Biological Sciences",2021,492006
"South Dakota State University","Directorate for Biological Sciences",2022,1045632
"South Dakota State University","Directorate for Biological Sciences",2023,452670
"South Dakota State University","Directorate for Biological Sciences",2024,1751173
"South Dakota State University","Directorate for Computer and Information Science and Engineering",2015,356290
"South Dakota State University","Directorate for Computer and Information Science and Engineering",2017,796359
"South Dakota State University","Directorate for Computer and Information Science and Engineering",2019,400731
"South Dakota State University","Directorate for Computer and Information Science and Engineering",2020,366176
"South Dakota State University","Directorate for Computer and Information Science and Engineering",2022,1978505
"South Dakota State University","Directorate for Computer and Information Science and Engineering",2024,180714
"South Dakota State University","Directorate for Engineering",2015,115077
"South Dakota State University","Directorate for Engineering",2016,153689
"South Dakota State University","Directorate for Engineering",2017,277335
"South Dakota State University","Directorate for Engineering",2018,110196
"South Dakota State University","Directorate for Engineering",2019,242509
"South Dakota State University","Directorate for Engineering",2020,527435
"South Dakota State University","Directorate for Engineering",2021,97153
"South Dakota State University","Directorate for Engineering",2022,0
"South Dakota State University","Directorate for Engineering",2023,1192751
"South Dakota State University","Directorate for Engineering",2024,606751
"South Dakota State University","Directorate for Geosciences",2016,373176
"South Dakota State University","Directorate for Geosciences",2019,279945
"South Dakota State University","Directorate for Geosciences",2021,681106
"South Dakota State University","Directorate for Geosciences",2022,487672
"South Dakota State University","Directorate for Mathematical and Physical Sciences",2018,98222
"South Dakota State University","Directorate for Mathematical and Physical Sciences",2020,159944
"South Dakota State University","Directorate for Mathematical and Physical Sciences",2022,7562
"South Dakota State University","Directorate for Mathematical and Physical Sciences",2023,7500
"South Dakota State University","Directorate for Mathematical and Physical Sciences",2024,887988
"South Dakota State University","Directorate for STEM Education",2015,856457
"South Dakota State University","Directorate for STEM Education",2016,495000
"South Dakota State University","Directorate for STEM Education",2018,540085
"South Dakota State University","Directorate for STEM Education",2019,1000000
"South Dakota State University","Directorate for STEM Education",2020,1262248
"South Dakota State University","Directorate for STEM Education",2021,538911
"South Dakota State University","Directorate for Social, Behavioral and Economic Sciences",2015,71219
"South Dakota State University","Directorate for Social, Behavioral and Economic Sciences",2021,132491
"South Dakota State University","Directorate for Technology, Innovation, and Partnerships",2018,14570
"South Dakota State University","Directorate for Technology, Innovation, and Partnerships",2021,50000
"South Dakota State University","Directorate for Technology, Innovation, and Partnerships",2024,300000
"South Dakota State University","Office Of The Director",2018,50898
"South Dakota State University","Office Of The Director",2021,55910
"South Dakota State University","Office Of The Director",2023,5030433
"South Dakota State University","Office Of The Director",2024,3366080
"Southern Illinois University At Carbondale","Directorate for Biological Sciences",2016,199997
"Southern Illinois University At Carbondale","Directorate for Biological Sciences",2018,19581
"Southern Illinois University At Carbondale","Directorate for Biological Sciences",2019,59100
"Southern Illinois University At Carbondale","Directorate for Biological Sciences",2020,173979
"Southern Illinois University At Carbondale","Directorate for Biological Sciences",2022,73491
"Southern Illinois University At Carbondale","Directorate for Biological Sciences",2023,170937
"Southern Illinois University At Carbondale","Directorate for Computer and Information Science and Engineering",2015,99999
"Southern Illinois University At Carbondale","Directorate for Computer and Information Science and Engineering",2018,14999
"Southern Illinois University At Carbondale","Directorate for Computer and Information Science and Engineering",2020,399923
"Southern Illinois University At Carbondale","Directorate for Computer and Information Science and Engineering",2021,45278
"Southern Illinois University At Carbondale","Directorate for Computer and Information Science and Engineering",2022,614000
"Southern Illinois University At Carbondale","Directorate for Computer and Information Science and Engineering",2023,1111797
"Southern Illinois University At Carbondale","Directorate for Computer and Information Science and Engineering",2024,175000
"Southern Illinois University At Carbondale","Directorate for Engineering",2015,219940
"Southern Illinois University At Carbondale","Directorate for Engineering",2016,301236
"Southern Illinois University At Carbondale","Directorate for Engineering",2018,513833
"Southern Illinois University At Carbondale","Directorate for Engineering",2019,697870
"Southern Illinois University At Carbondale","Directorate for Engineering",2021,216000
"Southern Illinois University At Carbondale","Directorate for Engineering",2022,648630
"Southern Illinois University At Carbondale","Directorate for Engineering",2023,790616
"Southern Illinois University At Carbondale","Directorate for Engineering",2024,1022280
"Southern Illinois University At Carbondale","Directorate for Geosciences",2015,20000
"Southern Illinois University At Carbondale","Directorate for Geosciences",2018,140739
"Southern Illinois University At Carbondale","Directorate for Geosciences",2024,300000
"Southern Illinois University At Carbondale","Directorate for Mathematical and Physical Sciences",2015,120006
"Southern Illinois University At Carbondale","Directorate for Mathematical and Physical Sciences",2016,0
"Southern Illinois University At Carbondale","Directorate for Mathematical and Physical Sciences",2017,384244
"Southern Illinois University At Carbondale","Directorate for Mathematical and Physical Sciences",2018,348493
"Southern Illinois University At Carbondale","Directorate for Mathematical and Physical Sciences",2019,762367
"Southern Illinois University At Carbondale","Directorate for Mathematical and Physical Sciences",2020,1122212
"Southern Illinois University At Carbondale","Directorate for Mathematical and Physical Sciences",2021,421536
"Southern Illinois University At Carbondale","Directorate for Mathematical and Physical Sciences",2022,164006
"Southern Illinois University At Carbondale","Directorate for Mathematical and Physical Sciences",2023,504552
"Southern Illinois University At Carbondale","Directorate for Mathematical and Physical Sciences",2024,533404
"Southern Illinois University At Carbondale","Directorate for STEM Education",2015,1137996
"Southern Illinois University At Carbondale","Directorate for STEM Education",2016,2876963
"Southern Illinois University At Carbondale","Directorate for STEM Education",2018,2196759
"Southern Illinois University At Carbondale","Directorate for STEM Education",2020,104961
"Southern Illinois University At Carbondale","Directorate for STEM Education",2022,1333328
"Southern Illinois University At Carbondale","Directorate for STEM Education",2023,374271
"Southern Illinois University At Carbondale","Directorate for STEM Education",2024,399853
"Southern Illinois University At Carbondale","Directorate for Social, Behavioral and Economic Sciences",2015,78551
"Southern Illinois University At Carbondale","Directorate for Social, Behavioral and Economic Sciences",2017,83833
"Southern Illinois University At Carbondale","Directorate for Social, Behavioral and Economic Sciences",2018,213517
"Southern Illinois University At Carbondale","Directorate for Social, Behavioral and Economic Sciences",2019,170718
"Southern Illinois University At Carbondale","Directorate for Social, Behavioral and Economic Sciences",2021,278812
"Southern Illinois University At Carbondale","Directorate for Social, Behavioral and Economic Sciences",2023,149097
"Southern Illinois University At Carbondale","Directorate for Technology, Innovation, and Partnerships",2021,50000
"Southern Illinois University At Carbondale","Directorate for Technology, Innovation, and Partnerships",2022,249998
"Southern Illinois University At Edwardsville","Directorate for Biological Sciences",2015,9893
"Southern Illinois University At Edwardsville","Directorate for Biological Sciences",2020,463557
"Southern Illinois University At Edwardsville","Directorate for Computer and Information Science and Engineering",2015,374093
"Southern Illinois University At Edwardsville","Directorate for Computer and Information Science and Engineering",2016,235646
"Southern Illinois University At Edwardsville","Directorate for Computer and Information Science and Engineering",2020,395580
"Southern Illinois University At Edwardsville","Directorate for Engineering",2017,185358
"Southern Illinois University At Edwardsville","Directorate for Engineering",2018,49957
"Southern Illinois University At Edwardsville","Directorate for Geosciences",2019,432038
"Southern Illinois University At Edwardsville","Directorate for Geosciences",2023,26010
"Southern Illinois University At Edwardsville","Directorate for Mathematical and Physical Sciences",2016,604534
"Southern Illinois University At Edwardsville","Directorate for Mathematical and Physical Sciences",2018,320000
"Southern Illinois University At Edwardsville","Directorate for Mathematical and Physical Sciences",2020,198553
"Southern Illinois University At Edwardsville","Directorate for Mathematical and Physical Sciences",2023,745000
"Southern Illinois University At Edwardsville","Directorate for STEM Education",2015,316334
"Southern Illinois University At Edwardsville","Directorate for STEM Education",2017,846416
"Southern Illinois University At Edwardsville","Directorate for STEM Education",2018,1632050
"Southern Illinois University At Edwardsville","Directorate for STEM Education",2019,1291073
"Southern Illinois University At Edwardsville","Directorate for STEM Education",2021,1500000
"Southern Illinois University At Edwardsville","Directorate for STEM Education",2022,299967
"Southern Illinois University At Edwardsville","Directorate for STEM Education",2023,340528
"Southern Illinois University At Edwardsville","Directorate for Social, Behavioral and Economic Sciences",2015,94113
"Southern Illinois University At Edwardsville","Directorate for Social, Behavioral and Economic Sciences",2016,287690
"Southern Illinois University At Edwardsville","Directorate for Social, Behavioral and Economic Sciences",2019,181153
"Southern Illinois University At Edwardsville","Directorate for Social, Behavioral and Economic Sciences",2021,70458
"Southern Illinois University At Edwardsville","Directorate for Social, Behavioral and Economic Sciences",2022,368069
"Southern Methodist University","Directorate for Biological Sciences",2016,1010056
"Southern Methodist University","Directorate for Biological Sciences",2022,476910
"Southern Methodist University","Directorate for Computer and Information Science and Engineering",2015,476000
"Southern Methodist University","Directorate for Computer and Information Science and Engineering",2016,358835
"Southern Methodist University","Directorate for Computer and Information Science and Engineering",2017,233820
"Southern Methodist University","Directorate for Computer and Information Science and Engineering",2018,1879759
"Southern Methodist University","Directorate for Computer and Information Science and Engineering",2019,826137
"Southern Methodist University","Directorate for Computer and Information Science and Engineering",2020,132024
"Southern Methodist University","Directorate for Computer and Information Science and Engineering",2021,343225
"Southern Methodist University","Directorate for Computer and Information Science and Engineering",2022,174927
"Southern Methodist University","Directorate for Computer and Information Science and Engineering",2023,440407
"Southern Methodist University","Directorate for Computer and Information Science and Engineering",2024,896412
"Southern Methodist University","Directorate for Engineering",2015,868769
"Southern Methodist University","Directorate for Engineering",2016,1186648
"Southern Methodist University","Directorate for Engineering",2017,638370
"Southern Methodist University","Directorate for Engineering",2018,636623
"Southern Methodist University","Directorate for Engineering",2019,338712
"Southern Methodist University","Directorate for Engineering",2020,1539157
"Southern Methodist University","Directorate for Engineering",2021,735794
"Southern Methodist University","Directorate for Engineering",2022,708370
"Southern Methodist University","Directorate for Engineering",2023,294584
"Southern Methodist University","Directorate for Engineering",2024,1353445
"Southern Methodist University","Directorate for Geosciences",2016,358927
"Southern Methodist University","Directorate for Geosciences",2017,1690626
"Southern Methodist University","Directorate for Geosciences",2018,456619
"Southern Methodist University","Directorate for Geosciences",2020,187681
"Southern Methodist University","Directorate for Geosciences",2021,80469
"Southern Methodist University","Directorate for Geosciences",2022,289251
"Southern Methodist University","Directorate for Geosciences",2023,99834
"Southern Methodist University","Directorate for Mathematical and Physical Sciences",2015,578860
"Southern Methodist University","Directorate for Mathematical and Physical Sciences",2016,257040
"Southern Methodist University","Directorate for Mathematical and Physical Sciences",2017,2659770
"Southern Methodist University","Directorate for Mathematical and Physical Sciences",2018,259070
"Southern Methodist University","Directorate for Mathematical and Physical Sciences",2019,2495132
"Southern Methodist University","Directorate for Mathematical and Physical Sciences",2020,2481506
"Southern Methodist University","Directorate for Mathematical and Physical Sciences",2021,2355505
"Southern Methodist University","Directorate for Mathematical and Physical Sciences",2022,1318629
"Southern Methodist University","Directorate for Mathematical and Physical Sciences",2023,659897
"Southern Methodist University","Directorate for Mathematical and Physical Sciences",2024,177718
"Southern Methodist University","Directorate for STEM Education",2016,184000
"Southern Methodist University","Directorate for STEM Education",2017,2899671
"Southern Methodist University","Directorate for STEM Education",2018,416038
"Southern Methodist University","Directorate for STEM Education",2019,1521616
"Southern Methodist University","Directorate for STEM Education",2020,1784274
"Southern Methodist University","Directorate for STEM Education",2021,3214109
"Southern Methodist University","Directorate for STEM Education",2023,425428
"Southern Methodist University","Directorate for STEM Education",2024,3861188
"Southern Methodist University","Directorate for Social, Behavioral and Economic Sciences",2015,25200
"Southern Methodist University","Directorate for Social, Behavioral and Economic Sciences",2016,96682
"Southern Methodist University","Directorate for Social, Behavioral and Economic Sciences",2017,741182
"Southern Methodist University","Directorate for Social, Behavioral and Economic Sciences",2018,34181
"Southern Methodist University","Directorate for Social, Behavioral and Economic Sciences",2019,168116
"Southern Methodist University","Directorate for Social, Behavioral and Economic Sciences",2020,101670
"Southern Methodist University","Directorate for Social, Behavioral and Economic Sciences",2021,798604
"Southern Methodist University","Directorate for Social, Behavioral and Economic Sciences",2023,0
"Southern Methodist University","Directorate for Social, Behavioral and Economic Sciences",2024,129290
"Southern Methodist University","Directorate for Technology, Innovation, and Partnerships",2015,50000
"Southern Methodist University","Directorate for Technology, Innovation, and Partnerships",2020,50000
"Southern Methodist University","Office Of The Director",2024,450000
"Southern University","Directorate for Biological Sciences",2019,607801
"Southern University","Directorate for Biological Sciences",2021,958309
"Southern University","Directorate for Biological Sciences",2022,1348020
"Southern University","Directorate for Computer and Information Science and Engineering",2024,280000
"Southern University","Directorate for Engineering",2023,249192
"Southern University","Directorate for Engineering",2024,1172990
"Southern University","Directorate for Mathematical and Physical Sciences",2015,2500000
"Southern University","Directorate for Mathematical and Physical Sciences",2020,2500000
"Southern University","Directorate for Mathematical and Physical Sciences",2022,900000
"Southern University","Directorate for STEM Education",2016,216831
"Southern University","Directorate for STEM Education",2017,5199991
"Southern University","Directorate for STEM Education",2019,2430838
"Southern University","Directorate for STEM Education",2020,399899
"Southern University","Directorate for STEM Education",2023,653653
"Southern University","Directorate for STEM Education",2024,399998
"Southern University","Office Of The Director",2021,4000000
"Southern University","Office Of The Director",2022,141721
"Southern University","Office Of The Director",2023,100000
"Southern University","Office Of The Director",2024,3000000
"Southwest Research Institute","Directorate for Geosciences",2017,319837
"Southwest Research Institute","Directorate for Geosciences",2018,98386
"Southwest Research Institute","Directorate for Geosciences",2021,122856
"Southwest Research Institute","Directorate for Geosciences",2022,153733
"Southwest Research Institute","Directorate for Geosciences",2024,977000
"Southwest Research Institute","Directorate for Mathematical and Physical Sciences",2015,701119
"Southwest Research Institute","Directorate for Mathematical and Physical Sciences",2016,458821
"Southwest Research Institute","Directorate for Mathematical and Physical Sciences",2018,58480
"Southwest Research Institute","Directorate for Mathematical and Physical Sciences",2019,456191
"Southwest Research Institute","Directorate for Mathematical and Physical Sciences",2020,373560
"Southwest Research Institute","Directorate for Mathematical and Physical Sciences",2021,295472
"Southwest Research Institute","Directorate for Mathematical and Physical Sciences",2022,330367
"Southwest Research Institute","Directorate for Mathematical and Physical Sciences",2023,1109642
"Southwest Research Institute","Directorate for Mathematical and Physical Sciences",2024,206422
"Space Science Institute","Directorate for Computer and Information Science and Engineering",2016,12008
"Space Science Institute","Directorate for Computer and Information Science and Engineering",2019,2120
"Space Science Institute","Directorate for Geosciences",2015,389060
"Space Science Institute","Directorate for Geosciences",2016,508611
"Space Science Institute","Directorate for Geosciences",2017,360000
"Space Science Institute","Directorate for Geosciences",2018,228137
"Space Science Institute","Directorate for Geosciences",2019,156622
"Space Science Institute","Directorate for Geosciences",2020,718807
"Space Science Institute","Directorate for Geosciences",2021,645816
"Space Science Institute","Directorate for Geosciences",2022,380613
"Space Science Institute","Directorate for Geosciences",2023,1006920
"Space Science Institute","Directorate for Geosciences",2024,877458
"Space Science Institute","Directorate for Mathematical and Physical Sciences",2017,537959
"Space Science Institute","Directorate for Mathematical and Physical Sciences",2018,225545
"Space Science Institute","Directorate for Mathematical and Physical Sciences",2020,245622
"Space Science Institute","Directorate for Mathematical and Physical Sciences",2022,579030
"Space Science Institute","Directorate for STEM Education",2016,1078775
"Space Science Institute","Directorate for STEM Education",2019,3310963
"Space Science Institute","Directorate for STEM Education",2023,249966
"Spelman College","Directorate for Biological Sciences",2015,40939
"Spelman College","Directorate for Biological Sciences",2016,550000
"Spelman College","Directorate for Biological Sciences",2017,87065
"Spelman College","Directorate for Biological Sciences",2018,595500
"Spelman College","Directorate for Biological Sciences",2020,505619
"Spelman College","Directorate for Biological Sciences",2022,99994
"Spelman College","Directorate for Biological Sciences",2024,1069764
"Spelman College","Directorate for Computer and Information Science and Engineering",2016,0
"Spelman College","Directorate for Computer and Information Science and Engineering",2018,150000
"Spelman College","Directorate for Computer and Information Science and Engineering",2021,471434
"Spelman College","Directorate for Computer and Information Science and Engineering",2022,758614
"Spelman College","Directorate for Geosciences",2019,598951
"Spelman College","Directorate for Geosciences",2021,359379
"Spelman College","Directorate for Mathematical and Physical Sciences",2016,403075
"Spelman College","Directorate for Mathematical and Physical Sciences",2018,599016
"Spelman College","Directorate for Mathematical and Physical Sciences",2021,246925
"Spelman College","Directorate for Mathematical and Physical Sciences",2023,318866
