"institution","rank","agency","dollars"
"Naval Postgraduate School",161,"usda",0
"Naval Postgraduate School",161,"othera",908000
"U. Idaho",162,"all federal r d expenditures",61531000
"U. Idaho",162,"dod",589000
"U. Idaho",162,"doe",4777000
"U. Idaho",162,"hhs",9337000
"U. Idaho",162,"nasa",3494000
"U. Idaho",162,"nsf",17921000
"U. Idaho",162,"usda",20068000
"U. Idaho",162,"othera",5345000
"U. Massachusetts, Lowell",163,"all federal r d expenditures",61413000
"U. Massachusetts, Lowell",163,"dod",20980000
"U. Massachusetts, Lowell",163,"doe",5058000
"U. Massachusetts, Lowell",163,"hhs",16578000
"U. Massachusetts, Lowell",163,"nasa",2770000
"U. Massachusetts, Lowell",163,"nsf",8163000
"U. Massachusetts, Lowell",163,"usda",240000
"U. Massachusetts, Lowell",163,"othera",7624000
"Texas Tech U.",164,"all federal r d expenditures",58922000
"Texas Tech U.",164,"dod",8205000
"Texas Tech U.",164,"doe",7136000
"Texas Tech U.",164,"hhs",5927000
"Texas Tech U.",164,"nasa",2686000
"Texas Tech U.",164,"nsf",13143000
"Texas Tech U.",164,"usda",5499000
"Texas Tech U.",164,"othera",16326000
"U. Texas, San Antonio",165,"all federal r d expenditures",58171000
"U. Texas, San Antonio",165,"dod",8071000
"U. Texas, San Antonio",165,"doe",9876000
"U. Texas, San Antonio",165,"hhs",20698000
"U. Texas, San Antonio",165,"nasa",2205000
"U. Texas, San Antonio",165,"nsf",8173000
"U. Texas, San Antonio",165,"usda",525000
"U. Texas, San Antonio",165,"othera",8623000
"Cleveland State U.",166,"all federal r d expenditures",56550000
"Cleveland State U.",166,"dod",4053000
"Cleveland State U.",166,"doe",396000
"Cleveland State U.",166,"hhs",46511000
"Cleveland State U.",166,"nasa",361000
"Cleveland State U.",166,"nsf",2375000
"Cleveland State U.",166,"usda",30000
"Cleveland State U.",166,"othera",2824000
"Rensselaer Polytechnic Institute",167,"all federal r d expenditures",56445000
"Rensselaer Polytechnic Institute",167,"dod",11163000
"Rensselaer Polytechnic Institute",167,"doe",11714000
"Rensselaer Polytechnic Institute",167,"hhs",14228000
"Rensselaer Polytechnic Institute",167,"nasa",2619000
"Rensselaer Polytechnic Institute",167,"nsf",14273000
"Rensselaer Polytechnic Institute",167,"usda",0
"Rensselaer Polytechnic Institute",167,"othera",2448000
"U. Texas, Arlington",168,"all federal r d expenditures",56337000
"U. Texas, Arlington",168,"dod",11021000
"U. Texas, Arlington",168,"doe",3474000
"U. Texas, Arlington",168,"hhs",13742000
"U. Texas, Arlington",168,"nasa",2233000
"U. Texas, Arlington",168,"nsf",12822000
"U. Texas, Arlington",168,"usda",1126000
"U. Texas, Arlington",168,"othera",11919000
"Florida A&M U.",169,"all federal r d expenditures",54363000
"Florida A&M U.",169,"dod",1501000
"Florida A&M U.",169,"doe",3360000
"Florida A&M U.",169,"hhs",7576000
"Florida A&M U.",169,"nasa",778000
"Florida A&M U.",169,"nsf",7064000
"Florida A&M U.",169,"usda",10818000
"Florida A&M U.",169,"othera",23266000
"Cold Spring Harbor Laboratory",170,"all federal r d expenditures",54123000
"Cold Spring Harbor Laboratory",170,"dod",2362000
"Cold Spring Harbor Laboratory",170,"doe",397000
"Cold Spring Harbor Laboratory",170,"hhs",44859000
"Cold Spring Harbor Laboratory",170,"nasa",0
"Cold Spring Harbor Laboratory",170,"nsf",4522000
"Cold Spring Harbor Laboratory",170,"usda",1983000
"Cold Spring Harbor Laboratory",170,"othera",0
"North Dakota State U.",171,"all federal r d expenditures",53339000
"North Dakota State U.",171,"dod",8962000
"North Dakota State U.",171,"doe",1011000
"North Dakota State U.",171,"hhs",9047000
"North Dakota State U.",171,"nasa",173000
"North Dakota State U.",171,"nsf",10647000
"North Dakota State U.",171,"usda",16517000
"North Dakota State U.",171,"othera",6982000
"Michigan Technological U.",172,"all federal r d expenditures",52102000
"Michigan Technological U.",172,"dod",18081000
"Michigan Technological U.",172,"doe",6662000
"Michigan Technological U.",172,"hhs",4905000
"Michigan Technological U.",172,"nasa",5735000
"Michigan Technological U.",172,"nsf",9785000
"Michigan Technological U.",172,"usda",2158000
"Michigan Technological U.",172,"othera",4776000
"Northern Arizona U.",173,"all federal r d expenditures",50491000
"Northern Arizona U.",173,"dod",7717000
"Northern Arizona U.",173,"doe",2659000
"Northern Arizona U.",173,"hhs",14539000
"Northern Arizona U.",173,"nasa",5096000
"Northern Arizona U.",173,"nsf",11658000
"Northern Arizona U.",173,"usda",5233000
"Northern Arizona U.",173,"othera",3589000
"U. Southern Mississippi",174,"all federal r d expenditures",48374000
"U. Southern Mississippi",174,"dod",12088000
"U. Southern Mississippi",174,"doe",306000
"U. Southern Mississippi",174,"hhs",4114000
"U. Southern Mississippi",174,"nasa",1945000
"U. Southern Mississippi",174,"nsf",3557000
"U. Southern Mississippi",174,"usda",1415000
"U. Southern Mississippi",174,"othera",24949000
"Howard U.",175,"all federal r d expenditures",47662000
"Howard U.",175,"dod",3763000
"Howard U.",175,"doe",610000
"Howard U.",175,"hhs",33942000
"Howard U.",175,"nasa",554000
"Howard U.",175,"nsf",5937000
"Howard U.",175,"usda",0
"Howard U.",175,"othera",2856000
"U. Puerto Rico, Medical Sciences Campus",176,"all federal r d expenditures",46789000
"U. Puerto Rico, Medical Sciences Campus",176,"dod",437000
"U. Puerto Rico, Medical Sciences Campus",176,"doe",0
"U. Puerto Rico, Medical Sciences Campus",176,"hhs",43095000
"U. Puerto Rico, Medical Sciences Campus",176,"nasa",250000
"U. Puerto Rico, Medical Sciences Campus",176,"nsf",1579000
"U. Puerto Rico, Medical Sciences Campus",176,"usda",9000
"U. Puerto Rico, Medical Sciences Campus",176,"othera",1419000
"Brandeis U.",177,"all federal r d expenditures",46654000
"Brandeis U.",177,"dod",609000
"Brandeis U.",177,"doe",2055000
"Brandeis U.",177,"hhs",35566000
"Brandeis U.",177,"nasa",326000
"Brandeis U.",177,"nsf",7849000
"Brandeis U.",177,"usda",0
"Brandeis U.",177,"othera",249000
"Syracuse U.",178,"all federal r d expenditures",46595000
"Syracuse U.",178,"dod",3574000
"Syracuse U.",178,"doe",2964000
"Syracuse U.",178,"hhs",18297000
"Syracuse U.",178,"nasa",305000
"Syracuse U.",178,"nsf",13639000
"Syracuse U.",178,"usda",1194000
"Syracuse U.",178,"othera",6622000
"Air Force Institute of Technology",179,"all federal r d expenditures",45087000
"Air Force Institute of Technology",179,"dod",41057000
"Air Force Institute of Technology",179,"doe",1607000
"Air Force Institute of Technology",179,"hhs",0
"Air Force Institute of Technology",179,"nasa",20000
"Air Force Institute of Technology",179,"nsf",35000
"Air Force Institute of Technology",179,"usda",0
"Air Force Institute of Technology",179,"othera",2368000
"Texas State U.",180,"all federal r d expenditures",44297000
"Texas State U.",180,"dod",4537000
"Texas State U.",180,"doe",571000
"Texas State U.",180,"hhs",7148000
"Texas State U.",180,"nasa",3376000
"Texas State U.",180,"nsf",6987000
"Texas State U.",180,"usda",1913000
"Texas State U.",180,"othera",19765000
"Saint Louis U.",181,"all federal r d expenditures",44157000
"Saint Louis U.",181,"dod",1378000
"Saint Louis U.",181,"doe",282000
"Saint Louis U.",181,"hhs",36662000
"Saint Louis U.",181,"nasa",208000
"Saint Louis U.",181,"nsf",3267000
"Saint Louis U.",181,"usda",121000
"Saint Louis U.",181,"othera",2239000
"U.S. Air Force Academy",182,"all federal r d expenditures",44056000
"U.S. Air Force Academy",182,"dod",43793000
"U.S. Air Force Academy",182,"doe",90000
"U.S. Air Force Academy",182,"hhs",0
"U.S. Air Force Academy",182,"nasa",146000
"U.S. Air Force Academy",182,"nsf",27000
"U.S. Air Force Academy",182,"usda",0
"U.S. Air Force Academy",182,"othera",0
"Stevens Institute of Technology",183,"all federal r d expenditures",44036000
"Stevens Institute of Technology",183,"dod",29801000
"Stevens Institute of Technology",183,"doe",1345000
"Stevens Institute of Technology",183,"hhs",3275000
"Stevens Institute of Technology",183,"nasa",1131000
"Stevens Institute of Technology",183,"nsf",6241000
"Stevens Institute of Technology",183,"usda",151000
"Stevens Institute of Technology",183,"othera",2092000
"Morehouse School of Medicine",184,"all federal r d expenditures",41069000
"Morehouse School of Medicine",184,"dod",854000
"Morehouse School of Medicine",184,"doe",0
"Morehouse School of Medicine",184,"hhs",39186000
"Morehouse School of Medicine",184,"nasa",0
"Morehouse School of Medicine",184,"nsf",952000
"Morehouse School of Medicine",184,"usda",0
"Morehouse School of Medicine",184,"othera",77000
"Touro U., New York",185,"all federal r d expenditures",40008000
"Touro U., New York",185,"dod",0
"Touro U., New York",185,"doe",0
"Touro U., New York",185,"hhs",40008000
"Touro U., New York",185,"nasa",0
"Touro U., New York",185,"nsf",0
"Touro U., New York",185,"usda",0
"Touro U., New York",185,"othera",0
"Lehigh U.",186,"all federal r d expenditures",39909000
"Lehigh U.",186,"dod",5433000
"Lehigh U.",186,"doe",6430000
"Lehigh U.",186,"hhs",8985000
"Lehigh U.",186,"nasa",391000
"Lehigh U.",186,"nsf",14720000
"Lehigh U.",186,"usda",134000
"Lehigh U.",186,"othera",3816000
"Indiana U.-Purdue U., Indianapolis",187,"all federal r d expenditures",39869000
"Indiana U.-Purdue U., Indianapolis",187,"dod",2065000
"Indiana U.-Purdue U., Indianapolis",187,"doe",1205000
"Indiana U.-Purdue U., Indianapolis",187,"hhs",22924000
"Indiana U.-Purdue U., Indianapolis",187,"nasa",20000
"Indiana U.-Purdue U., Indianapolis",187,"nsf",8876000
"Indiana U.-Purdue U., Indianapolis",187,"usda",147000
"Indiana U.-Purdue U., Indianapolis",187,"othera",4632000
"Boston C.",188,"all federal r d expenditures",39356000
"Boston C.",188,"dod",6761000
"Boston C.",188,"doe",952000
"Boston C.",188,"hhs",17454000
"Boston C.",188,"nasa",332000
"Boston C.",188,"nsf",9110000
"Boston C.",188,"usda",52000
"Boston C.",188,"othera",4695000
"U. Nevada, Las Vegas",189,"all federal r d expenditures",38815000
"U. Nevada, Las Vegas",189,"dod",1127000
"U. Nevada, Las Vegas",189,"doe",5695000
"U. Nevada, Las Vegas",189,"hhs",13063000
"U. Nevada, Las Vegas",189,"nasa",2278000
"U. Nevada, Las Vegas",189,"nsf",8972000
"U. Nevada, Las Vegas",189,"usda",1947000
"U. Nevada, Las Vegas",189,"othera",5733000
"CUNY, City C.",190,"all federal r d expenditures",38669000
"CUNY, City C.",190,"dod",2629000
"CUNY, City C.",190,"doe",2683000
"CUNY, City C.",190,"hhs",13221000
"CUNY, City C.",190,"nasa",2455000
"CUNY, City C.",190,"nsf",11770000
"CUNY, City C.",190,"usda",122000
"CUNY, City C.",190,"othera",5789000
"U. Toledo",191,"all federal r d expenditures",37872000
"U. Toledo",191,"dod",7381000
"U. Toledo",191,"doe",6210000
"U. Toledo",191,"hhs",15343000
"U. Toledo",191,"nasa",3682000
"U. Toledo",191,"nsf",2771000
"U. Toledo",191,"usda",654000
"U. Toledo",191,"othera",1831000
"Worcester Polytechnic Institute",192,"all federal r d expenditures",37736000
"Worcester Polytechnic Institute",192,"dod",10249000
"Worcester Polytechnic Institute",192,"doe",3200000
"Worcester Polytechnic Institute",192,"hhs",5543000
"Worcester Polytechnic Institute",192,"nasa",577000
"Worcester Polytechnic Institute",192,"nsf",13042000
"Worcester Polytechnic Institute",192,"usda",324000
"Worcester Polytechnic Institute",192,"othera",4801000
"Rochester Institute of Technology",193,"all federal r d expenditures",37334000
"Rochester Institute of Technology",193,"dod",6907000
"Rochester Institute of Technology",193,"doe",2565000
"Rochester Institute of Technology",193,"hhs",5597000
"Rochester Institute of Technology",193,"nasa",3210000
"Rochester Institute of Technology",193,"nsf",11449000
"Rochester Institute of Technology",193,"usda",293000
"Rochester Institute of Technology",193,"othera",7313000
"North Carolina A&T State U.",194,"all federal r d expenditures",37152000
"North Carolina A&T State U.",194,"dod",4693000
"North Carolina A&T State U.",194,"doe",3132000
"North Carolina A&T State U.",194,"hhs",4856000
"North Carolina A&T State U.",194,"nasa",2719000
"North Carolina A&T State U.",194,"nsf",9842000
"North Carolina A&T State U.",194,"usda",8379000
"North Carolina A&T State U.",194,"othera",3531000
"Louisiana State U., Health Sciences Center, New Orleans",195,"all federal r d expenditures",35933000
"Louisiana State U., Health Sciences Center, New Orleans",195,"dod",8e+05
"Louisiana State U., Health Sciences Center, New Orleans",195,"doe",0
"Louisiana State U., Health Sciences Center, New Orleans",195,"hhs",34595000
"Louisiana State U., Health Sciences Center, New Orleans",195,"nasa",85000
"Louisiana State U., Health Sciences Center, New Orleans",195,"nsf",58000
"Louisiana State U., Health Sciences Center, New Orleans",195,"usda",0
"Louisiana State U., Health Sciences Center, New Orleans",195,"othera",395000
"Boise State U.",196,"all federal r d expenditures",35801000
"Boise State U.",196,"dod",4780000
"Boise State U.",196,"doe",4229000
"Boise State U.",196,"hhs",7292000
"Boise State U.",196,"nasa",2296000
"Boise State U.",196,"nsf",11813000
"Boise State U.",196,"usda",1663000
"Boise State U.",196,"othera",3728000
"Catholic U. of America",197,"all federal r d expenditures",35502000
"Catholic U. of America",197,"dod",570000
"Catholic U. of America",197,"doe",4193000
"Catholic U. of America",197,"hhs",2416000
"Catholic U. of America",197,"nasa",25243000
"Catholic U. of America",197,"nsf",2580000
"Catholic U. of America",197,"usda",0
"Catholic U. of America",197,"othera",5e+05
"Florida Atlantic U.",198,"all federal r d expenditures",35108000
"Florida Atlantic U.",198,"dod",9229000
"Florida Atlantic U.",198,"doe",642000
"Florida Atlantic U.",198,"hhs",10689000
"Florida Atlantic U.",198,"nasa",873000
"Florida Atlantic U.",198,"nsf",6028000
"Florida Atlantic U.",198,"usda",2722000
"Florida Atlantic U.",198,"othera",4925000
"SUNY, Polytechnic Institute",199,"all federal r d expenditures",34393000
"SUNY, Polytechnic Institute",199,"dod",27332000
"SUNY, Polytechnic Institute",199,"doe",1149000
"SUNY, Polytechnic Institute",199,"hhs",1087000
"SUNY, Polytechnic Institute",199,"nasa",41000
"SUNY, Polytechnic Institute",199,"nsf",2448000
"SUNY, Polytechnic Institute",199,"usda",0
"SUNY, Polytechnic Institute",199,"othera",2336000
"U. North Carolina, Charlotte",200,"all federal r d expenditures",33784000
"U. North Carolina, Charlotte",200,"dod",2923000
"U. North Carolina, Charlotte",200,"doe",4525000
"U. North Carolina, Charlotte",200,"hhs",10351000
"U. North Carolina, Charlotte",200,"nasa",192000
"U. North Carolina, Charlotte",200,"nsf",11761000
"U. North Carolina, Charlotte",200,"usda",66000
"U. North Carolina, Charlotte",200,"othera",3966000
"U. Denver",201,"all federal r d expenditures",33148000
"U. Denver",201,"dod",570000
"U. Denver",201,"doe",130000
"U. Denver",201,"hhs",22422000
"U. Denver",201,"nasa",41000
"U. Denver",201,"nsf",4403000
"U. Denver",201,"usda",154000
"U. Denver",201,"othera",5428000
"William & Mary",202,"all federal r d expenditures",32631000
"William & Mary",202,"dod",2485000
"William & Mary",202,"doe",3284000
"William & Mary",202,"hhs",1800000
"William & Mary",202,"nasa",119000
"William & Mary",202,"nsf",8199000
"William & Mary",202,"usda",278000
"William & Mary",202,"othera",16466000
"Missouri U. of Science and Technology",203,"all federal r d expenditures",32457000
"Missouri U. of Science and Technology",203,"dod",7640000
"Missouri U. of Science and Technology",203,"doe",7851000
"Missouri U. of Science and Technology",203,"hhs",2729000
"Missouri U. of Science and Technology",203,"nasa",2951000
"Missouri U. of Science and Technology",203,"nsf",5360000
"Missouri U. of Science and Technology",203,"usda",125000
"Missouri U. of Science and Technology",203,"othera",5801000
"San Jose State U.",204,"all federal r d expenditures",31780000
"San Jose State U.",204,"dod",453000
"San Jose State U.",204,"doe",909000
"San Jose State U.",204,"hhs",3223000
"San Jose State U.",204,"nasa",17145000
"San Jose State U.",204,"nsf",4847000
"San Jose State U.",204,"usda",130000
"San Jose State U.",204,"othera",5073000
"Portland State U.",205,"all federal r d expenditures",31731000
"Portland State U.",205,"dod",2302000
"Portland State U.",205,"doe",1479000
"Portland State U.",205,"hhs",9367000
"Portland State U.",205,"nasa",610000
"Portland State U.",205,"nsf",8319000
"Portland State U.",205,"usda",711000
"Portland State U.",205,"othera",8943000
"SUNY, Binghamton U.",206,"all federal r d expenditures",31601000
"SUNY, Binghamton U.",206,"dod",5908000
"SUNY, Binghamton U.",206,"doe",1282000
"SUNY, Binghamton U.",206,"hhs",12847000
"SUNY, Binghamton U.",206,"nasa",0
"SUNY, Binghamton U.",206,"nsf",9406000
"SUNY, Binghamton U.",206,"usda",0
"SUNY, Binghamton U.",206,"othera",2158000
"U. North Carolina, Greensboro",207,"all federal r d expenditures",31581000
"U. North Carolina, Greensboro",207,"dod",4e+05
"U. North Carolina, Greensboro",207,"doe",48000
"U. North Carolina, Greensboro",207,"hhs",13358000
"U. North Carolina, Greensboro",207,"nasa",595000
"U. North Carolina, Greensboro",207,"nsf",3856000
"U. North Carolina, Greensboro",207,"usda",1091000
"U. North Carolina, Greensboro",207,"othera",12233000
"Brigham Young U., Provo",208,"all federal r d expenditures",31216000
"Brigham Young U., Provo",208,"dod",4295000
"Brigham Young U., Provo",208,"doe",4032000
"Brigham Young U., Provo",208,"hhs",8287000
"Brigham Young U., Provo",208,"nasa",1908000
"Brigham Young U., Provo",208,"nsf",9148000
"Brigham Young U., Provo",208,"usda",601000
"Brigham Young U., Provo",208,"othera",2945000
"Old Dominion U.",209,"all federal r d expenditures",31104000
"Old Dominion U.",209,"dod",6643000
"Old Dominion U.",209,"doe",4621000
"Old Dominion U.",209,"hhs",4467000
"Old Dominion U.",209,"nasa",1944000
"Old Dominion U.",209,"nsf",7351000
"Old Dominion U.",209,"usda",213000
"Old Dominion U.",209,"othera",5865000
"Van Andel Research Institute",210,"all federal r d expenditures",30934000
"Van Andel Research Institute",210,"dod",990000
"Van Andel Research Institute",210,"doe",217000
"Van Andel Research Institute",210,"hhs",29476000
"Van Andel Research Institute",210,"nasa",0
"Van Andel Research Institute",210,"nsf",251000
"Van Andel Research Institute",210,"usda",0
"Van Andel Research Institute",210,"othera",0
"East Carolina U.",211,"all federal r d expenditures",30851000
"East Carolina U.",211,"dod",2437000
"East Carolina U.",211,"doe",591000
"East Carolina U.",211,"hhs",17090000
"East Carolina U.",211,"nasa",425000
"East Carolina U.",211,"nsf",6791000
"East Carolina U.",211,"usda",130000
"East Carolina U.",211,"othera",3387000
"Morgan State U.",212,"all federal r d expenditures",30451000
"Morgan State U.",212,"dod",4399000
"Morgan State U.",212,"doe",131000
"Morgan State U.",212,"hhs",8464000
"Morgan State U.",212,"nasa",8502000
"Morgan State U.",212,"nsf",4738000
"Morgan State U.",212,"usda",115000
"Morgan State U.",212,"othera",4102000
"SUNY, Upstate Medical U.",213,"all federal r d expenditures",30069000
"SUNY, Upstate Medical U.",213,"dod",1630000
"SUNY, Upstate Medical U.",213,"doe",0
"SUNY, Upstate Medical U.",213,"hhs",28151000
"SUNY, Upstate Medical U.",213,"nasa",0
"SUNY, Upstate Medical U.",213,"nsf",41000
"SUNY, Upstate Medical U.",213,"usda",0
"SUNY, Upstate Medical U.",213,"othera",247000
"U. North Texas, Denton",214,"all federal r d expenditures",30017000
"U. North Texas, Denton",214,"dod",9215000
"U. North Texas, Denton",214,"doe",3793000
"U. North Texas, Denton",214,"hhs",5427000
"U. North Texas, Denton",214,"nasa",558000
"U. North Texas, Denton",214,"nsf",7489000
"U. North Texas, Denton",214,"usda",503000
"U. North Texas, Denton",214,"othera",3032000
"Mercer U.",215,"all federal r d expenditures",29944000
"Mercer U.",215,"dod",26952000
"Mercer U.",215,"doe",0
"Mercer U.",215,"hhs",2494000
"Mercer U.",215,"nasa",37000
"Mercer U.",215,"nsf",421000
"Mercer U.",215,"usda",0
"Mercer U.",215,"othera",40000
"Loyola U., Chicago",216,"all federal r d expenditures",29712000
"Loyola U., Chicago",216,"dod",826000
"Loyola U., Chicago",216,"doe",75000
"Loyola U., Chicago",216,"hhs",24329000
"Loyola U., Chicago",216,"nasa",0
"Loyola U., Chicago",216,"nsf",3318000
"Loyola U., Chicago",216,"usda",16000
"Loyola U., Chicago",216,"othera",1148000
"South Dakota State U.",217,"all federal r d expenditures",28897000
"South Dakota State U.",217,"dod",785000
"South Dakota State U.",217,"doe",283000
"South Dakota State U.",217,"hhs",5649000
"South Dakota State U.",217,"nasa",1089000
"South Dakota State U.",217,"nsf",3067000
"South Dakota State U.",217,"usda",15238000
"South Dakota State U.",217,"othera",2786000
"U. South Alabama",218,"all federal r d expenditures",28637000
"U. South Alabama",218,"dod",3863000
"U. South Alabama",218,"doe",365000
"U. South Alabama",218,"hhs",10008000
"U. South Alabama",218,"nasa",349000
"U. South Alabama",218,"nsf",5486000
"U. South Alabama",218,"usda",894000
"U. South Alabama",218,"othera",7672000
"U. California, Merced",219,"all federal r d expenditures",28576000
"U. California, Merced",219,"dod",1839000
"U. California, Merced",219,"doe",1927000
"U. California, Merced",219,"hhs",7004000
"U. California, Merced",219,"nasa",910000
"U. California, Merced",219,"nsf",10735000
"U. California, Merced",219,"usda",3810000
"U. California, Merced",219,"othera",2351000
"SUNY, Downstate Health Sciences U.",220,"all federal r d expenditures",28543000
"SUNY, Downstate Health Sciences U.",220,"dod",1760000
"SUNY, Downstate Health Sciences U.",220,"doe",0
"SUNY, Downstate Health Sciences U.",220,"hhs",26430000
"SUNY, Downstate Health Sciences U.",220,"nasa",0
"SUNY, Downstate Health Sciences U.",220,"nsf",231000
"SUNY, Downstate Health Sciences U.",220,"usda",0
"SUNY, Downstate Health Sciences U.",220,"othera",122000
"U. Missouri, Kansas City",221,"all federal r d expenditures",28115000
"U. Missouri, Kansas City",221,"dod",11816000
"U. Missouri, Kansas City",221,"doe",150000
"U. Missouri, Kansas City",221,"hhs",12707000
"U. Missouri, Kansas City",221,"nasa",256000
"U. Missouri, Kansas City",221,"nsf",1990000
"U. Missouri, Kansas City",221,"usda",190000
"U. Missouri, Kansas City",221,"othera",1006000
"Illinois Institute of Technology",222,"all federal r d expenditures",28027000
"Illinois Institute of Technology",222,"dod",1194000
"Illinois Institute of Technology",222,"doe",6361000
"Illinois Institute of Technology",222,"hhs",13250000
"Illinois Institute of Technology",222,"nasa",390000
"Illinois Institute of Technology",222,"nsf",4722000
"Illinois Institute of Technology",222,"usda",1032000
"Illinois Institute of Technology",222,"othera",1078000
"U. Massachusetts, Boston",223,"all federal r d expenditures",27098000
"U. Massachusetts, Boston",223,"dod",687000
"U. Massachusetts, Boston",223,"doe",0
"U. Massachusetts, Boston",223,"hhs",11250000
"U. Massachusetts, Boston",223,"nasa",816000
"U. Massachusetts, Boston",223,"nsf",6106000
"U. Massachusetts, Boston",223,"usda",97000
"U. Massachusetts, Boston",223,"othera",8142000
"U. Memphis",224,"all federal r d expenditures",26913000
"U. Memphis",224,"dod",4087000
"U. Memphis",224,"doe",536000
"U. Memphis",224,"hhs",10336000
"U. Memphis",224,"nasa",180000
"U. Memphis",224,"nsf",5771000
"U. Memphis",224,"usda",151000
"U. Memphis",224,"othera",5852000
"U. Wisconsin-Milwaukee",225,"all federal r d expenditures",25612000
"U. Wisconsin-Milwaukee",225,"dod",859000
"U. Wisconsin-Milwaukee",225,"doe",2698000
"U. Wisconsin-Milwaukee",225,"hhs",10328000
"U. Wisconsin-Milwaukee",225,"nasa",503000
"U. Wisconsin-Milwaukee",225,"nsf",8497000
"U. Wisconsin-Milwaukee",225,"usda",379000
"U. Wisconsin-Milwaukee",225,"othera",2348000
"U. Texas Rio Grande Valley",226,"all federal r d expenditures",25068000
"U. Texas Rio Grande Valley",226,"dod",1569000
"U. Texas Rio Grande Valley",226,"doe",1709000
"U. Texas Rio Grande Valley",226,"hhs",10558000
"U. Texas Rio Grande Valley",226,"nasa",132000
"U. Texas Rio Grande Valley",226,"nsf",7382000
"U. Texas Rio Grande Valley",226,"usda",2143000
"U. Texas Rio Grande Valley",226,"othera",1575000
"Delaware State U.",227,"all federal r d expenditures",24167000
"Delaware State U.",227,"dod",3092000
"Delaware State U.",227,"doe",0
"Delaware State U.",227,"hhs",8286000
"Delaware State U.",227,"nasa",101000
"Delaware State U.",227,"nsf",2039000
"Delaware State U.",227,"usda",5147000
"Delaware State U.",227,"othera",5502000
"Embry-Riddle Aeronautical U.",228,"all federal r d expenditures",23733000
"Embry-Riddle Aeronautical U.",228,"dod",4836000
"Embry-Riddle Aeronautical U.",228,"doe",187000
"Embry-Riddle Aeronautical U.",228,"hhs",376000
"Embry-Riddle Aeronautical U.",228,"nasa",1961000
"Embry-Riddle Aeronautical U.",228,"nsf",3619000
"Embry-Riddle Aeronautical U.",228,"usda",107000
"Embry-Riddle Aeronautical U.",228,"othera",12647000
"CUNY, Hunter C.",229,"all federal r d expenditures",22124000
"CUNY, Hunter C.",229,"dod",813000
"CUNY, Hunter C.",229,"doe",828000
"CUNY, Hunter C.",229,"hhs",18145000
"CUNY, Hunter C.",229,"nasa",324000
"CUNY, Hunter C.",229,"nsf",1787000
"CUNY, Hunter C.",229,"usda",0
"CUNY, Hunter C.",229,"othera",227000
"U. Nebraska, Omaha",230,"all federal r d expenditures",22096000
"U. Nebraska, Omaha",230,"dod",2956000
"U. Nebraska, Omaha",230,"doe",0
"U. Nebraska, Omaha",230,"hhs",4908000
"U. Nebraska, Omaha",230,"nasa",6000
"U. Nebraska, Omaha",230,"nsf",3766000
"U. Nebraska, Omaha",230,"usda",0
"U. Nebraska, Omaha",230,"othera",10460000
"Ohio U.",231,"all federal r d expenditures",21919000
"Ohio U.",231,"dod",889000
"Ohio U.",231,"doe",4303000
"Ohio U.",231,"hhs",8034000
"Ohio U.",231,"nasa",424000
"Ohio U.",231,"nsf",2568000
"Ohio U.",231,"usda",134000
"Ohio U.",231,"othera",5567000
"Desert Research Institute",232,"all federal r d expenditures",20061000
"Desert Research Institute",232,"dod",3508000
"Desert Research Institute",232,"doe",6210000
"Desert Research Institute",232,"hhs",1174000
"Desert Research Institute",232,"nasa",1376000
"Desert Research Institute",232,"nsf",2628000
"Desert Research Institute",232,"usda",1080000
"Desert Research Institute",232,"othera",4085000
"Marquette U.",233,"all federal r d expenditures",20055000
"Marquette U.",233,"dod",1924000
"Marquette U.",233,"doe",2952000
"Marquette U.",233,"hhs",10104000
"Marquette U.",233,"nasa",41000
"Marquette U.",233,"nsf",4396000
"Marquette U.",233,"usda",20000
"Marquette U.",233,"othera",618000
"Southern Methodist U.",234,"all federal r d expenditures",19986000
"Southern Methodist U.",234,"dod",4403000
"Southern Methodist U.",234,"doe",1302000
"Southern Methodist U.",234,"hhs",3721000
"Southern Methodist U.",234,"nasa",795000
"Southern Methodist U.",234,"nsf",5520000
"Southern Methodist U.",234,"usda",0
"Southern Methodist U.",234,"othera",4245000
"Marshall U.",235,"all federal r d expenditures",19797000
"Marshall U.",235,"dod",4724000
"Marshall U.",235,"doe",7000
"Marshall U.",235,"hhs",11438000
"Marshall U.",235,"nasa",184000
"Marshall U.",235,"nsf",694000
"Marshall U.",235,"usda",18000
"Marshall U.",235,"othera",2732000
"U.S. Military Academy",236,"all federal r d expenditures",19390000
"U.S. Military Academy",236,"dod",18493000
"U.S. Military Academy",236,"doe",1000
"U.S. Military Academy",236,"hhs",817000
"U.S. Military Academy",236,"nasa",0
"U.S. Military Academy",236,"nsf",79000
"U.S. Military Academy",236,"usda",0
"U.S. Military Academy",236,"othera",0
"California State U., Northridge",237,"all federal r d expenditures",19169000
"California State U., Northridge",237,"dod",1204000
"California State U., Northridge",237,"doe",240000
"California State U., Northridge",237,"hhs",8418000
"California State U., Northridge",237,"nasa",1345000
"California State U., Northridge",237,"nsf",7385000
"California State U., Northridge",237,"usda",102000
"California State U., Northridge",237,"othera",475000
"U. of the Virgin Islands",238,"all federal r d expenditures",19127000
"U. of the Virgin Islands",238,"dod",150000
"U. of the Virgin Islands",238,"doe",0
"U. of the Virgin Islands",238,"hhs",1523000
